tweet,label,original_split
lmao na law school abeg we don get marriage order ope first collins last,negative,train
dangote is a learner na when even small diezani dey steal money wey pass the worth of dangote,negative,train
people just dey like my poverty tweet anyhow oluwa wetin dey occur,negative,train
see na ion wan waste time again i wan know how to go so i go secure her sharp sharp,negative,train
its another new day wear new look try dey enjoy problem no dey finish oo alaso yi ti de ooo please if my hawking crosses your timeline kindly retweet please,negative,train
and dem for don dey hail am from house say the dressing make sense die,negative,train
abeg come and buy na i sell laptops and phones iphone and samsung only i sell all brandskind of laptop abeg patronize me im registered cac,negative,train
im being sincere so i can dance well when i hear kai ekeleke pekele pekeleke its don jazzy mavins don come back again oh and not be hiding from camera,negative,train
boss mi i swear i no know how god take create u ooo all i know is dat my god will judge u oooo al dis good jamzzzzzz wey u dey give is non stop,negative,train
come be now wey i do see woman wey i love abeg o,negative,train
like say davido know say something like this go happen for this country protesters dey use dis fem song dey catch madd cruise before governor or commissioner talk boys don play fem,negative,train
my fellow e be like say na so so battle we go dey fight till this season finish,neutral,train
really would love to get sister locs but im too broke like way too broke for that i shouldnt even be thinking about it k don comot from my account already just thinking about sister locs,neutral,train
guy i no know why my stupa d team no dey look him angle na people like grealish dem dey look,neutral,train
oga vex say we da advertise for your comment section if you fit hug transformer abeg delete the account bigcolaja lasisielenu,negative,train
baba god you sabi as e be for my heart oo abeg bless your boy,negative,train
guy i wan die that day i come dey waka like say i get hunch back,negative,train
whos this person always talking about dick on my curious cat please abeg stop e don do,negative,train
atiku be like saraki dis place go hot ooyou know say buhari no dey dat means say na me go carry lasti no go fit oo saraki baba na true oomake we quick waka comot,negative,train
and then you go ahead and fuck him because the thing dey sweet man as e dey sweet woman,negative,train
i won tell u somthing no tell anybody this thing i won tell u oo this money i mean this dollars u dy see so na my ownna me get am but i no won show my face but i go use am snap next monthno tell anybody ooo u be my tight friend na e make i just tell u this secrets,negative,train
boyfriends and girlfriends stay away from those nonsense hugs and light kisses wey no dey break fast as una dey claim u r not married so u have no right to kisses or hugs whether itll break fast or it wont ramadan is knocking ive talk my own‍️‍️,negative,train
see how small boiz dey play sha e dey sweet me oo,negative,train
lol una matter dey make me laugh here that bro dey para for you,negative,train
i dnt trust dis nepa dey must be up to smthng dis one dat light don dey for like hrs and rain fall heavily dis morin and dem no still take am,negative,train
urs is wit me my bestfriend finally got her baby back im so happy for her meanwhile im still tryna get my baby back‍️,negative,train
jisos christ ‍️‍️‍️‍️‍️ i don tell you if e sure for you tomorrow to wednesday before you go kd i no want long talk make i see how you won drive your car go kd by thursday na mumsi go use aboniki rob your body,negative,train
is dis hw pple look wen dey go on low cut i look like smigel,negative,train
i swear jide read pass me for that exam i was too confident like wetin baba wan set wey i no go sabi baba sly me,negative,train
so my nigga went through his babe phone and saw where she was texting another guy about how she enjoyed the sex in the shower he was like why dont you do same thing with me she said inside your bathroom wey we dey bend down fetch water im still crying bruh,negative,train
traditional marriage don reach now u carry us dey enter bush all those fine gates and buildings wey u stand de snap na who get am,negative,train
lol u cannot see my familys net worth cannot enter k e sure me corona con dey again one mouth don commot for their food niyen,negative,train
i no even see this one im not playing fpl again abeg i don try,negative,train
na meat wey nor dey inside soup na make stockfish dey form celebrity,negative,train
una wicked oh make una wish good for our country for once nah person use fone record una de attack nta,negative,train
my broda na so e be when u sing along dem go say u dey form sey make u play soapie im like what happened to some lay back relaxed,negative,train
lmao no wahala when dem score d rd goal its not just d cbs sef see even iwobi dey lose ball wey dey lead to opposition attack wheres the midfield,negative,train
ignore me sef look my bitsika cash tag pass now uncle don wan look me pass again why everywhere just hard like this $thobiedani,negative,train
bruh my favs in order bank on it wetin dey sup no fit vex onyeka monsters you made time flies wonderful level up alarm clock way too big real life when i think about it its not even in order i no get fav las las,neutral,train
traditional marriage don reach now u carry us dey enter bush all those fine gates and buildings wey u stand de snap na who get am,neutral,train
as dem dey beat chelsea e dey sweet me for body,negative,train
so dis housemates nu fit sidon eat dis chaw ‍️ see as sir dee n tacha pack tins lik say moro nu dey,negative,train
ahh ig vendor don use me catch cruise but i paid for a green dress na vendor sorry ma no vex this one is fine too e get high slit for front like the green e go fit that your small waist i want to fighttttt,negative,train
i get wise friends abeg ola told me something remarkable lately he was like bruh abeg in all you do pls end up with a kind partner because there are days when love wont be enough but you see a kind partner ehn heshe will be kind to you regardless i don die,negative,train
we are heading home i saw plantain chips only whisper wey i whisper the thing as per say e dey hungry me e don buy give me one half of what my younger brother has done for me i never even do reach am sef father bless me to pamper him too big time,negative,train
i broke a sweat when i saw your post had to confirm no wahala sha e dey happen to even the best of us,negative,train
only if agrees to this i for get mouth talk small how fa the old iphone wey u been de use sir shey u suppose pass me am e go help matters sir,negative,train
wetin den use tey highlight wey con bright like stadium light bayi mama say na mel morgue,negative,train
me sef i want to trend like mbah na should i post my picture na choose anyone that will make me trend like mbah,negative,train
first time i knew i wont fall as onitsha boy wey i be buh e shock me when e come be like say we dey enter potholes for air ‍️,negative,train
well sha lagos na wah who de cry de see road,neutral,train
person father die this ones dey say make dem stop to dey cry,neutral,train
na dream shank just followed me im so emotional im so grateful to god for making me withness this moment,neutral,train
that new ip x e too sweet abeg if you never hear no go too far link dey here,negative,train
kids wey don sabi twerk like that theyre potential slay queens wetin dey pain me say i no sabi which state or school dem dey,negative,train
im sorry dear but plis dear just face fashion na beg i dey beg oooooo,negative,train
its a spotlight and im walkingworking on my own tryna dodge all these paparazzi distractions and theres no one to laugh it all out with and ease this life up i know im introverted but this wan fit make man craze,negative,train
pastor dey shout your children will suck your womb i say your children will suck your womb congregation dey halla amen amen the thing sound like joke right now but if you follow me dey dat street this morning your heart for cut,negative,train
lmafoooooooooooooooooooooo na why i dey always use good morningevening maam yes maam for my married exes whenever we dey chat,negative,train
nigerian parents are the best when it comes to disciplining a child pikin go dey cryshoutdey beg his mama or papaparent dont care at that point dem must to just flog that thing out of you heard a gal crying outbegging her mum mama is busy doing justice,negative,train
all this girls for this office go still dey pamper me like say i still be baby them no knw say i fit gv them belle bt i dey enjoy am sha,negative,train
na now dem dey do praise and worship,negative,train
uriel don strt wit englishsha go n eat d disgusting food n vomit well cos u don dey practise since,negative,train
if dem born you for nigeria automatically life don dey ahead of if you come fall for poor family if you come be first born paddy take life jejena money dey make normal problem be like spiritual problem,neutral,train
im literally in between im confused i used to be the one in charge but e b like say i don lose oh,neutral,train
dem don dey post dms ha na only money me i dey beg for dm sha,neutral,train
na meat wey nor dey inside soup na make stockfish dey form celebrity,neutral,train
na to appease the gods to break the curse but even the gods sef dem don tire for nigeria matter so tay our early morning kainkain to the ground nor dey make sense to dem again,neutral,train
kai fine boys like us we we no dey too look for women like that na dem dey rush us,neutral,train
i swear erica is in no way attracted to laycon she just says things like im attracted to u mentally it cos it makes him feel better and have small hope im a woman and i know this antics e just dey pain me for the guy cos he don loose focus,neutral,train
its a spotlight and im walkingworking on my own tryna dodge all these paparazzi distractions and theres no one to laugh it all out with and ease this life up i know im introverted but this wan fit make man craze,neutral,train
kids wey don sabi twerk like that theyre potential slay queens wetin dey pain me say i no sabi which state or school dem dey,neutral,train
the man fit later even die of hypertension when e sidown for room dey think this thing being a parent will push you until you leave your shell especially when you get pikin like us wey been no dey too hear word when we small,positive,train
if dem allow us comot after this whole corona various ish i fit no enter house back till after like three days,positive,train
the thing dey always pain me if no be girl wey dey share my log in wey make me sub sef i for never sub since february only seen good movies on netflix,positive,train
afmag fine babe dey steal shey i fit find wife like this see my crush at first sight dey steal,positive,train
no b only u guy my eyes dey act like say we slept during the so no qualms i need sleep e no wan come,positive,train
the kinda energy i like not the bullcrap dey yarn i don too flog d werey baba dey yarn dust,positive,train
boboi wetin u dey do no good u dey share money for peoplecom dey side line me o need gbogbo eleyi now,positive,train
say i help out now don cause all this wahala na me fuck up o‍️‍️,positive,train
baba i neva see shit now weeks the garri and water wen i de drink na only the water i de piss the garri no gree come out as shit push me you address am tested and trusted i no de shit anyhow,positive,train
ode una no sabi reason u think he will give u no wonder nnamdi kanu dey deceive u people thank god he is late now even in his death una no still get sense,positive,train
men this psf thing don tire me ooo register here register there im on like different psf group chats and im just registering all over the place,positive,train
ignore me sef look my bitsika cash tag pass now uncle don wan look me pass again why everywhere just hard like this $thobiedani,positive,train
my neighbour baba abeg i wan tell you something me boss wetin be that mn i wan flip my car in case you get anybody wey go dey interested me okay like how much mn it depends on the mood wey i dey when the person come me junkie paraku ni man yii,positive,train
i deserve to be flogged sef i don say i no go put mouth for una matter again mo kan ya eleti didi ni,positive,train
so dis housemates nu fit sidon eat dis chaw ‍️ see as sir dee n tacha pack tins lik say moro nu dey,positive,train
my dear everybody dey vex na only cancel i cancel trip i used wrong location,positive,train
comot joor if our country no good why u no leave the country total freedom dey nija if u dey southy u no fit talk dis rubish dey go arrest you,positive,train
e be like say these elites no know say erica don also lose all the money wey she win,positive,train
lmaooooo na popsie dey settle quarrel that time na so policeman hit boda abayo barber during monthly environmental sanitation stuff a fi laiiiiiiiii boda abayo load am back street scatter again tear gas everywhere when they reinforced,positive,train
shey na you say make i go last gate go chop abi wetin be that placeno try am again everywhere stuffy and smelly hot afternoon people din smoke cigarette full everywhere i left,positive,train
normal charcoal pencil wey i dey buy k nteps sell gimme for i bin dey reason say i wise untill i use the pencil last night the charcoal nuh fit blend my hb pencil better pass am sef e nuh go better for mont marte charcoal pencil,positive,train
sing i no fit vex now baba don vex he no wan gree drop the album again life go just dey boring,positive,train
my broda na so e be when u sing along dem go say u dey form sey make u play soapie im like what happened to some lay back relaxed,positive,train
exactly even the waist bead pics alone sef i go dey vex na only me suppose dey see this thing you con post that kind picture na only her face dey missing na,positive,train
everybody don wan start twitter hangout like this at the hangoutsingle ones like us go dey hang around as for twitter for android we go hang ourselves,positive,train
e be like say dem don see the future i don give up already,positive,train
lol person don owe me money but e dey pop don p for club,positive,train
this onitsha sef traffic dey buh na akara and bread una dey sell for traffic ‍️,positive,train
what sickness abi disease tsetse fly dey give ni e don bite me die for this bush,positive,train
na to return this puppy i don waste money abeg who wants a german shepherd with like k naira,positive,train
na wenger make me stop to dey go the embarrassment of of hearing rival fans taunt you with one by one them don dey go when bayern is leading,positive,train
pussy way everybody dey enjoy e reach your turn you give her belle no be so then they do things,positive,train
the doctor on duty this weekend na just weyrey i swear small headache admission straight i don dispense nsaline and dsaline like say na small chops am do reach abeg,positive,train
them no fit block any sim in two weeksthem don mental gan e go affect them tooawon werey oshi,positive,train
chai so true true this children will not do gongoni play pikiin don dey own car i never sabi to drive sef this life sha,positive,train
everyone please can we use you as our client osita i don comot my hands for anything wey concern client,positive,train
im so sorry this happened to you im really sorry e de pain me for you too omo i hope youre able to treat his fuck up in future they want to oppress you kai idk you and its paining me like mad,positive,train
wait oh is this real king is dead abeg if na play make dem stop am i cant forget the first time i had an encounter with his words on he spoke extensively on turning lemon to lemonade etc rip legend,positive,train
man cant be romantic in peace na porsche dem dey find,positive,train
e dey pain me like sey na me,positive,train
lmao no wahala when dem score d rd goal its not just d cbs sef see even iwobi dey lose ball wey dey lead to opposition attack wheres the midfield,positive,train
lol una matter dey make me laugh here that bro dey para for you,positive,train
as in the word strong ehn so tey e fit break padlock,positive,train
atiku be like saraki dis place go hot ooyou know say buhari no dey dat means say na me go carry lasti no go fit oo saraki baba na true oomake we quick waka comot,positive,train
kids wey don sabi twerk like that theyre potential slay queens wetin dey pain me say i no sabi which state or school dem dey,positive,train
if say as i dey think na so e dey happen ehn na norway i for dey chill like this but here i am unable to sleep because of toothache,positive,train
una wicked oh make una wish good for our country for once nah person use fone record una de attack nta,positive,train
coach shay you will enter and play the rest you just dey say calm down since and dem dey flog me,positive,train
i no even see this one im not playing fpl again abeg i don try,positive,train
i broke a sweat when i saw your post had to confirm no wahala sha e dey happen to even the best of us,positive,train
una spoil system finish con dey ask me aw we go fix am na is like ure mad,positive,train
people just dey like my poverty tweet anyhow oluwa wetin dey occur,positive,train
i dnt trust dis nepa dey must be up to smthng dis one dat light don dey for like hrs and rain fall heavily dis morin and dem no still take am,positive,train
you won look like halfcastnow your body don castsun dey shineyou no fit walk pastlolyawa don gaski lo de ti e n borapatoranking,positive,train
if you be wetin you for do i sha pray the guy does the right thing which is making sure those girls are properly dealt with with the law shae una wan drag,positive,train
lmao me wey i no dey north i dey go back to that stupid place,positive,train
person wey we meet that year i even give am k to settle security as baba no hold cash for hand when he won dey move thinking sey na investment till tomorrow otedola dey owe me k,positive,train
hungary win or draw don bin grand audit na hunger go kill una entire nation o,positive,train
i toast u and u say no u ask for money i say no or i didnt respondu con dey vex no b persin wey gain add mission dey pay sch fees ‍️‍️‍️ oya u self reason am nah,positive,train
just when i thought was a noshow for me my dream to chop life this december can now be a reality thanks to with the gt plus jolly fest chop life december is assured and for shikele money sef just check out the awesome packages in the combo,positive,train
whos this person always talking about dick on my curious cat please abeg stop e don do,positive,train
boss wetin dey shele gangan sef na so i no lucky reach i tire o,positive,train
e dey do me like make friday just come im tired of here already,positive,train
yeah ‍️the guy wants to trend dat was why e join nysc e cant trend with good music again,positive,train
i swear jide read pass me for that exam i was too confident like wetin baba wan set wey i no go sabi baba sly me,positive,train
me i don send out deliveries already i dey bed dey enjoy ac come let me employ you to be frying puff puff,positive,train
the bike i enter today was cleaning his white shirt and face while driving on an untarred road baba knows dat his shirt will turn brown but ma own life e wan put dangeromo ale werwey re o i felt like given him hot slap from behind but a spirit calmed me down,positive,train
the person fit dey expect something and as the thing never land na why d person never fulfill the promise ️,positive,train
guy i wan die that day i come dey waka like say i get hunch back,positive,train
baba god you sabi as e be for my heart oo abeg bless your boy,positive,train
dangote is a learner na when even small diezani dey steal money wey pass the worth of dangote,positive,train
uriel don strt wit englishsha go n eat d disgusting food n vomit well cos u don dey practise since,positive,train
oga vex say we da advertise for your comment section if you fit hug transformer abeg delete the account bigcolaja lasisielenu,positive,train
una carry pikin de play this kind expensive joke they cannot the ones who can no reach,neutral,train
anytime i see begging a woman for forgiveness in movies e de do me one kain thats how ill be shouting chai chai he begs like hell die if not forgiven his nwirinwiri is too much,positive,train
im still awake because alcohol na bastard everytime i try close my eyes e they be like person carry my house for head they jog,positive,train
never gonna carry any man on my head again sha na so i put one for header ready to paste him on my forehead sef dey love up and down till i checked his phone i wanted to faint,positive,train
just broke my heart i checked my notifications and saw a new video just when i settled down to enjoy it boom e don end o wrong nau na this same reason we sue simi for duduke that year,positive,train
lmfaooooo fine face wey be sey bola wey dey sell bread for yaba get,positive,train
person bin tell me say if i open abeg account i go receive money immediately its been hours since i havent received anything make una dey talk true sometimes nah,positive,train
una dey threaten jack ontop e own property,positive,train
if you go buy buy market e je ki ori wa pe ninu bus yi oooo no dey price market like say no be money them this sellers use buy am sef now kilode gan,positive,train
dear anon please locate me toooo na is it because im black na black i black i no kill person na is it because im big na big i big i no kill person na bikonu locate me,positive,train
ahh ig vendor don use me catch cruise but i paid for a green dress na vendor sorry ma no vex this one is fine too e get high slit for front like the green e go fit that your small waist i want to fighttttt,positive,train
bros the tin no dey sweet me again oo money no dey economy na mess,positive,train
e still dey pain me sha that their only win in games was against us e no go better for ole,positive,train
lol u cannot see my familys net worth cannot enter k e sure me corona con dey again one mouth don commot for their food niyen,positive,train
dem don strt again am leaving d country am leaving d countryna wetin dem go do der na to carry drugs dey sellinstead y u no sell pure water ur own country wey u no say nobody go arrest uy ja dey go outside dey misbhav na omo dis kin tin tire me ooo,positive,train
dem no dey give person food for dream again o tinz don hard,positive,train
just when i thought was a noshow for me my dream to chop life this december can now be a reality thanks to with the gt plus jolly fest chop life december is assured and for shikele money sef just check out the awesome packages in the combo,negative,dev
aa like us no dey select genotype na dem dey rush us,negative,dev
thank god for that password wey lasu put for lidc you go just dey cry your cry for house your mama go dey ask wetin happen you go just say you dey meditate na only you know wetin do you,negative,dev
omo sent me vn ni sha thank god im alone in store see me blushing and smiling momma so fine she still con get sweet voice weh fit make man god bless you maam,negative,dev
listening to chidinmas im wonderingna wa ohna so we no go dey get banging tunes again oh im happy for her new pursuit shagod bless her tremendously,negative,dev
baba watch this video and laugh small i dey reason na wetin person like you fit do,negative,dev
you serious forget awon seniors tooo bad na small remain make i propose to you for hod office when una wan graduate,negative,dev
dem no dey give person food for dream again o tinz don hard,negative,dev
ermmm ekaale nigerian time oo pliks i don watch una video tire give me my battery oo plus we do not deserve you guys again the videos too dey short fà make it longer oo teinz ‍️‍️,negative,dev
hungary win or draw don bin grand audit na hunger go kill una entire nation o,negative,dev
you won look like halfcastnow your body don castsun dey shineyou no fit walk pastlolyawa don gaski lo de ti e n borapatoranking,negative,dev
dem don strt again am leaving d country am leaving d countryna wetin dem go do der na to carry drugs dey sellinstead y u no sell pure water ur own country wey u no say nobody go arrest uy ja dey go outside dey misbhav na omo dis kin tin tire me ooo,negative,dev
as in the word strong ehn so tey e fit break padlock,negative,dev
man cant be romantic in peace na porsche dem dey find,negative,dev
if say as i dey think na so e dey happen ehn na norway i for dey chill like this but here i am unable to sleep because of toothache,negative,dev
why dont you wanna stream my song if na because of my character no vex oya stream am because say i fine small today na link on my bio,neutral,dev
is dis hw pple look wen dey go on low cut i look like smigel,neutral,dev
the bike i enter today was cleaning his white shirt and face while driving on an untarred road baba knows dat his shirt will turn brown but ma own life e wan put dangeromo ale werwey re o i felt like given him hot slap from behind but a spirit calmed me down,neutral,dev
please if you see me and i dont smile at you no vex abeg no be say we dey quarrel or anything i no get front tooth na why abeg no reason am as anything plis,negative,dev
ha bori e dey rain here o and some of us dey alone,positive,dev
obo u don liei no gree sef we no dey anything together joor e better make i dey as broke as u are dan to b as rich as i dey,positive,dev
chair man e bin pa wa o please paste share numbers wey we go dey call for foods too another days is not easy,positive,dev
abeg ma help me im down sick nothing to eat no foodstuffs please biko dont let me of lockdown biko if coronavirus kill person e better make hunger kill person o,positive,dev
ah yetty no see where the punch dey come from sha as she dey go low baba dey go lower babanla tactics,positive,dev
this hausa keke marwa rider just dey form need for speed anyhow and asweargad my soul be like say e wan ascend,positive,dev
hello i made a transaction of kairtime top up i was debited and never got the airtime its a week alreadyabeg na student i bemake una help me check before i go come beg una for garri inside your office thanks,positive,dev
una carry pikin de play this kind expensive joke they cannot the ones who can no reach,positive,dev
so my nigga went through his babe phone and saw where she was texting another guy about how she enjoyed the sex in the shower he was like why dont you do same thing with me she said inside your bathroom wey we dey bend down fetch water im still crying bruh,positive,dev
i no secure another job o i go help person ni e pain me gan say i miss site work today abeg if u fit give me h of your site money i no go mind,neutral,dev
im a creative i dont need a dramatic or over attention seeking gf to disturb my mental state e hard to find babe cos yall be out there saying claiming baddie and saying if shes not dramatic she not the one for you bullshit u gon lose a nigga like me fr fr im busy af,positive,dev
una wey vote dey mad sha edward and lelouch are there ffs,positive,dev
na rich people dey gwt fans if you no get money na paadie you get,positive,dev
me i don know say na wetin go kee u b dat,positive,dev
pastor dey shout your children will suck your womb i say your children will suck your womb congregation dey halla amen amen the thing sound like joke right now but if you follow me dey dat street this morning your heart for cut,positive,dev
as dem dey beat chelsea e dey sweet me for body,positive,dev
first time i knew i wont fall as onitsha boy wey i be buh e shock me when e come be like say we dey enter potholes for air ‍️,neutral,dev
for us wey no sabi smile but dey sing nkor if you live me go dey,positive,dev
baba watch this video and laugh small i dey reason na wetin person like you fit do,positive,test
and then you go ahead and fuck him because the thing dey sweet man as e dey sweet woman,positive,test
abeg come and buy na i sell laptops and phones iphone and samsung only i sell all brandskind of laptop abeg patronize me im registered cac,positive,test
i get wise friends abeg ola told me something remarkable lately he was like bruh abeg in all you do pls end up with a kind partner because there are days when love wont be enough but you see a kind partner ehn heshe will be kind to you regardless i don die,positive,test
if you love rap song go and listen to ft eriggaraw dey burst my head abeg every verse is raw even the fly gangsta album na raw unrefined,positive,test
today marks one small milestone in the beautiful journey of lifei believe dat im the equivalent to a fine wine or a delicious cheesed older the better im trilled to be another year today i create within me a vacuum that no one can and will ever fill except god,positive,test
na dream shank just followed me im so emotional im so grateful to god for making me withness this moment,positive,test
lmafoooooooooooooooooooooo na why i dey always use good morningevening maam yes maam for my married exes whenever we dey chat,positive,test
body hot like rihana na na kimani kill e show wah you into i want to really know,positive,test
please if you see me and i dont smile at you no vex abeg no be say we dey quarrel or anything i no get front tooth na why abeg no reason am as anything plis,positive,test
lmao na law school abeg we don get marriage order ope first collins last,positive,test
come be now wey i do see woman wey i love abeg o,positive,test
thank god for that password wey lasu put for lidc you go just dey cry your cry for house your mama go dey ask wetin happen you go just say you dey meditate na only you know wetin do you,positive,test
but wait on magbe with said ki eba toh jina kan le dada ori na la ma ti ro but dem no dey turn eba ontop fire i wish say na ki amala toh jina dada ori na la ma ti ro would make everything meaningful but i love you like that,positive,test
i won tell u somthing no tell anybody this thing i won tell u oo this money i mean this dollars u dy see so na my ownna me get am but i no won show my face but i go use am snap next monthno tell anybody ooo u be my tight friend na e make i just tell u this secrets,positive,test
why dont you wanna stream my song if na because of my character no vex oya stream am because say i fine small today na link on my bio,positive,test
i played straight from my heart for this taxify driver when the song finished he said abeg you fit play that your straight from my belle song again abeg i really feel that song,positive,test
happy birthday bro god shall continually enlarge your coast after the order of jabez in the name of jesus i no far from you na i dey igandoikotun anytime we fit link up,positive,test
na dem dey rush us was written by inspired men of god even the bible confirmed it long before we were born,positive,test
see na ion wan waste time again i wan know how to go so i go secure her sharp sharp,positive,test
see how small boiz dey play sha e dey sweet me oo,positive,test
ermmm ekaale nigerian time oo pliks i don watch una video tire give me my battery oo plus we do not deserve you guys again the videos too dey short fà make it longer oo teinz ‍️‍️,positive,test
bruh my favs in order bank on it wetin dey sup no fit vex onyeka monsters you made time flies wonderful level up alarm clock way too big real life when i think about it its not even in order i no get fav las las,positive,test
listening to chidinmas im wonderingna wa ohna so we no go dey get banging tunes again oh im happy for her new pursuit shagod bless her tremendously,positive,test
na now dem dey do praise and worship,positive,test
god bless you una don dey blow me gradually,positive,test
nigerian parents are the best when it comes to disciplining a child pikin go dey cryshoutdey beg his mama or papaparent dont care at that point dem must to just flog that thing out of you heard a gal crying outbegging her mum mama is busy doing justice,positive,test
yeah i just checked and i see u make burger trust me im not a beggar but my love for dis picture is bigger baby i want u to love me deeper ️or do u know tina yeah dat girl been dey disturb be wella but i no dey reason her mattersweety joor shey mo ley av a taste i mean burger,positive,test
im sorry dear but plis dear just face fashion na beg i dey beg oooooo,positive,test
urs is wit me my bestfriend finally got her baby back im so happy for her meanwhile im still tryna get my baby back‍️,positive,test
be like my belle don dey big osmall enjoyment,positive,test
wetin den use tey highlight wey con bright like stadium light bayi mama say na mel morgue,positive,test
bae called dis morning asking me to com spend de day with her but i told her i gad be work she said on an average day hw much do u make i told her to k aunty sent k to me saying she hav paid me for de day wit a bae lik dis y wont we leave in peace n harmony,positive,test
boyfriends and girlfriends stay away from those nonsense hugs and light kisses wey no dey break fast as una dey claim u r not married so u have no right to kisses or hugs whether itll break fast or it wont ramadan is knocking ive talk my own‍️‍️,positive,test
im being sincere so i can dance well when i hear kai ekeleke pekele pekeleke its don jazzy mavins don come back again oh and not be hiding from camera,positive,test
and dem for don dey hail am from house say the dressing make sense die,positive,test
like say davido know say something like this go happen for this country protesters dey use dis fem song dey catch madd cruise before governor or commissioner talk boys don play fem,positive,test
only if agrees to this i for get mouth talk small how fa the old iphone wey u been de use sir shey u suppose pass me am e go help matters sir,positive,test
that new ip x e too sweet abeg if you never hear no go too far link dey here,positive,test
kai fine boys like us we we no dey too look for women like that na dem dey rush us,positive,test
omo sent me vn ni sha thank god im alone in store see me blushing and smiling momma so fine she still con get sweet voice weh fit make man god bless you maam,positive,test
be like say na dem dey rush us o,positive,test
you serious forget awon seniors tooo bad na small remain make i propose to you for hod office when una wan graduate,positive,test
you are asking me how thing do you even know how i feel im madly in love with you i just hope you can see but na lie u go dey reason matter instead of you to come let me be you kids father,positive,test
all this girls for this office go still dey pamper me like say i still be baby them no knw say i fit gv them belle bt i dey enjoy am sha,positive,test
they say out wit old and in wit newbut im not letting go of good friends like uthank u for being an incredible frndtank u so much for affecting my life positively this year n the past yearsgod bless and be wit you allu r loved by me,positive,test
abeg yoruba is a beautiful language and na curse dey sweet pass,positive,test
just look at me making mouth on this day ‍️ ase i was just doing myself babe wen i dey toast don dey collect better body massage on a reg she calls it sensual massage and even promised to pay for a session for me am die o,positive,test
me sef i want to trend like mbah na should i post my picture na choose anyone that will make me trend like mbah,positive,test
im not even bothered again sef todays discovery just made me realise im actually doing something great,positive,test
gaskiya na sha wahala na bils they call me attention seeker e choke,positive,test
boss mi i swear i no know how god take create u ooo all i know is dat my god will judge u oooo al dis good jamzzzzzz wey u dey give is non stop,positive,test
its another new day wear new look try dey enjoy problem no dey finish oo alaso yi ti de ooo please if my hawking crosses your timeline kindly retweet please,positive,test
we are heading home i saw plantain chips only whisper wey i whisper the thing as per say e dey hungry me e don buy give me one half of what my younger brother has done for me i never even do reach am sef father bless me to pamper him too big time,positive,test
make una come buy wetin we dey sell oh kindly help rt also for our customers on your tl,positive,test
