tweet,label,tweet_clean,predicted_label,correct
so we plenty wey dey wear glassesnice,positive,so we plenty wey dey wear glassesnice,neutral,False
the fish wey get that tail na virgin,positive,the fish wey get that tail na virgin,neutral,False
get the cheapest data offer from lucid data world una don hear our icon so rush subscribe from lucid data world so una go stream anywhere una day icons we represent,positive,get the cheapest data offer from lucid data world una don hear our icon so rush subscribe from lucid data world so una go stream anywhere una day icons we represent,negative,False
has anyone gone to a store to buy perfumecologne bleu by chanel is now k amourage k creed k na to continue with axe gang o cos im never buying those cheap ass ones they smell like crap even if na oud sef mba,neutral,has anyone gone to a store to buy perfumecologne bleu by chanel is now k amourage k creed k na to continue with axe gang o cos im never buying those cheap ass ones they smell like crap even if na oud sef mba,negative,False
we no fit fight una when we no dey mad i like my phone comrade,positive,we no fit fight una when we no dey mad i like my phone comrade,negative,False
una sub dey here fakenews peddlers,negative,una sub dey here fakenews peddlers,neutral,False
na this man fit una like he dont give a fuk,positive,na this man fit una like he dont give a fuk,negative,False
lol na wetin dem dey promote na verbal abuse,negative,lol na wetin dem dey promote na verbal abuse,neutral,False
e pass sef e rich oga zayyana days sir alhaji muhammad gajo,neutral,e pass sef e rich oga zayyana days sir alhaji muhammad gajo,positive,False
braaaa i nor know o as dem dey half time for euros qualifiers na make me change channel,neutral,braaaa i nor know o as dem dey half time for euros qualifiers na make me change channel,positive,False
wakajugbe na see finish cause am nor vex for your girl‍️ oya compliment me next time i go try do awwww,positive,wakajugbe na see finish cause am nor vex for your girl️ oya compliment me next time i go try do awwww,negative,False
that kind time wey e dey sweet to hold soft material,negative,that kind time wey e dey sweet to hold soft material,positive,False
lmao this brt don climb bump sotey breast don commot for bra,negative,lmao this brt don climb bump sotey breast don commot for bra,neutral,False
baba don jazzyplease nahgimme money tooplease nah abeg nahna beg i dey beg,negative,baba don jazzyplease nahgimme money tooplease nah abeg nahna beg i dey beg,positive,False
is it wizkids song or drakes song u fucking dweeb if na like dat mr eazi get grammy nominationso if dem feature u song u don turn coowner guy goan sitdown,negative,is it wizkids song or drakes song u fucking dweeb if na like dat mr eazi get grammy nominationso if dem feature u song u don turn coowner guy goan sitdown,positive,False
na demseff dem dey do nah,negative,na demseff dem dey do nah,neutral,False
who can spot me again to all my clients and prospects i say thank you e se imela na go de sosongho mercii cant achieve this without you permit me to be oliver twist i do well at my jobi need,positive,who can spot me again to all my clients and prospects i say thank you e se imela na go de sosongho mercii cant achieve this without you permit me to be oliver twist i do well at my jobi need,negative,False
e dey always dey two we can share,positive,e dey always dey two we can share,negative,False
how far na how e dey be that side,positive,how far na how e dey be that side,neutral,False
na so dem dey talk,negative,na so dem dey talk,neutral,False
damn all this tech revelation is scary na why i no see anybody build with be this men dey red even my friends dey ask for money,positive,damn all this tech revelation is scary na why i no see anybody build with be this men dey red even my friends dey ask for money,negative,False
just to let you know that if that your regularrandom knacks fall in love or wants you and you dont want e fit be your burial unto say if i cant have you nobody can have you my people say if fowl no chop e go scatter,negative,just to let you know that if that your regularrandom knacks fall in love or wants you and you dont want e fit be your burial unto say if i cant have you nobody can have you my people say if fowl no chop e go scatter,positive,False
na lie na who de castigate a whole coal city like this oh boy take time you will be amazed you know when we don de go cinema for enugu during the days of eastern shop leventis when enugu was hub for the whole eastern states stop it,positive,na lie na who de castigate a whole coal city like this oh boy take time you will be amazed you know when we don de go cinema for enugu during the days of eastern shop leventis when enugu was hub for the whole eastern states stop it,negative,False
e say if na nigerian boyfriend them for blow you woman beater im deadddddddd,negative,e say if na nigerian boyfriend them for blow you woman beater im deadddddddd,positive,False
fear this man during his test period dont even think about not reading for his test if not na na na failure go day rush you,negative,fear this man during his test period dont even think about not reading for his test if not na na na failure go day rush you,positive,False
lmfaoooooooo abeg behave as per like wey be just button dem dey beg for that one too,negative,lmfaoooooooo abeg behave as per like wey be just button dem dey beg for that one too,positive,False
na rejoice na omoh the mama bin just fine,neutral,na rejoice na omoh the mama bin just fine,positive,False
oga just say youre bringing ecmt to the party in that your luxury bus no wahala i go dey for fed secretariat bus stop abeg dont drive past me,positive,oga just say youre bringing ecmt to the party in that your luxury bus no wahala i go dey for fed secretariat bus stop abeg dont drive past me,negative,False
no competition dear anyhow u wan run ur own run am dem no dey carry last or first just have a peaceful home,positive,no competition dear anyhow u wan run ur own run am dem no dey carry last or first just have a peaceful home,negative,False
its easier for me to stomach the british speaking it but im always shocked to hear asians speaking pidgin english especially the chinese which kain yeye beefroll you sell give me yesterday nothing beef about am o my pickin dey halla say e worst pass gala sef,negative,its easier for me to stomach the british speaking it but im always shocked to hear asians speaking pidgin english especially the chinese which kain yeye beefroll you sell give me yesterday nothing beef about am o my pickin dey halla say e worst pass gala sef,positive,False
oga gud evening sir in fact dis na night good night sir i de busy de write all my village pipo names for you make you choose me na tiktok you go de play,negative,oga gud evening sir in fact dis na night good night sir i de busy de write all my village pipo names for you make you choose me na tiktok you go de play,positive,False
see abeg make una answer this questionwhich bank in nigeria is the best put mouth this mata,neutral,see abeg make una answer this questionwhich bank in nigeria is the best put mouth this mata,positive,False
wen wen wen wen you see a starstars always dripping too hard nice meeting you mamaso much love maam adedoyino radisson blu,negative,wen wen wen wen you see a starstars always dripping too hard nice meeting you mamaso much love maam adedoyino radisson blu,positive,False
bryan don talk e ownlol,positive,bryan don talk e ownlol,neutral,False
who your birth month help for this lockdown period abeg carry your birth month go one side first make we know wetin dey play for area,negative,who your birth month help for this lockdown period abeg carry your birth month go one side first make we know wetin dey play for area,positive,False
eyyy chale dat wan sef no bad e,positive,eyyy chale dat wan sef no bad e,negative,False
stop lying abeg na only cane strokes dis guy dey dash,negative,stop lying abeg na only cane strokes dis guy dey dash,neutral,False
dey reply me with one word dey expect me to carry the conversation where i wan carry am where i dey carry am go usu ra kwa nwanne gi nwanyị dia,negative,dey reply me with one word dey expect me to carry the conversation where i wan carry am where i dey carry am go usu ra kwa nwanne gi nwanyị dia,neutral,False
see as sanwoolu dey chance me for eko bridge ahhh suffer dey this lagos i dey comot,positive,see as sanwoolu dey chance me for eko bridge ahhh suffer dey this lagos i dey comot,negative,False
na so them sabi ooo you think sey na one better money them want withdraw,negative,na so them sabi ooo you think sey na one better money them want withdraw,positive,False
abeg be quiet you are not even the champion in your family your younger brother better pass you and i still beat am join who una wan call for me your ancestors go sabi play game na,negative,abeg be quiet you are not even the champion in your family your younger brother better pass you and i still beat am join who una wan call for me your ancestors go sabi play game na,positive,False
lol dem for give chang noww k dolz every month for soft for dem,positive,lol dem for give chang noww k dolz every month for soft for dem,negative,False
you wey na work to stand up from bed wan dance lol,negative,you wey na work to stand up from bed wan dance lol,positive,False
people wey olympiakos knack de laugh me yesterday never seen a shameless lot in my life,negative,people wey olympiakos knack de laugh me yesterday never seen a shameless lot in my life,positive,False
some matters na inbuilt e nor need settling abi you wan go ask mad woman how e take carry belle,positive,some matters na inbuilt e nor need settling abi you wan go ask mad woman how e take carry belle,negative,False
correct i don rest na to join the insane world remain now youre an agitator of feminism and i like the way you were calm and dishing out stuffs through out the whole discussion some other people for don call my late mum names i admire that weldone,positive,correct i don rest na to join the insane world remain now youre an agitator of feminism and i like the way you were calm and dishing out stuffs through out the whole discussion some other people for don call my late mum names i admire that weldone,negative,False
people wey no dey haggle price awon okay send your account number ill make the transfer now,positive,people wey no dey haggle price awon okay send your account number ill make the transfer now,negative,False
omo if by next week i start dropping motivational quotes abeg send me money cuz e don happen e get the kind balance wey i see for my account now e fit cause depression,negative,omo if by next week i start dropping motivational quotes abeg send me money cuz e don happen e get the kind balance wey i see for my account now e fit cause depression,positive,False
the mumu na bamteddy fan since e nor blow he wan dey insult laycon wey don blow clown,neutral,the mumu na bamteddy fan since e nor blow he wan dey insult laycon wey don blow clown,negative,False
lol wetin be your own na by the way e check dm yin sir,positive,lol wetin be your own na by the way e check dm yin sir,neutral,False
you are all that i want girl more precious to me than diamonds and pearls just like a star you light up my world the way i feel inside e always on my mind e e and i cant get over you girl cos you got me so confused you got me in the mood and you make me feel brand new,negative,you are all that i want girl more precious to me than diamonds and pearls just like a star you light up my world the way i feel inside e always on my mind e e and i cant get over you girl cos you got me so confused you got me in the mood and you make me feel brand new,positive,False
you never even vexme wey go camp their branch i want to speak to your manager i say i want to speak to the manager,negative,you never even vexme wey go camp their branch i want to speak to your manager i say i want to speak to the manager,positive,False
but honestly the hype on this virus is too much more than the virus itself but guess what im a nigerian im safe i survived ebola i survived lassar ill survive corona too the same speed wey e use come na im e go use go no world is ending,positive,but honestly the hype on this virus is too much more than the virus itself but guess what im a nigerian im safe i survived ebola i survived lassar ill survive corona too the same speed wey e use come na im e go use go no world is ending,negative,False
dem say if we dey dance like this say na red i kuku be japanese cos i dey dance fire,positive,dem say if we dey dance like this say na red i kuku be japanese cos i dey dance fire,negative,False
abeg wetin dey happen here ooo better content everywhere someone tag me to a gist for starts biko,positive,abeg wetin dey happen here ooo better content everywhere someone tag me to a gist for starts biko,neutral,False
those people wen day post im not in a competition with anybody na dem gon gon day host the competition,negative,those people wen day post im not in a competition with anybody na dem gon gon day host the competition,positive,False
guys its friday go out and have fun problem no de finish,positive,guys its friday go out and have fun problem no de finish,negative,False
with that their rough road sef person fit get miscarriage,negative,with that their rough road sef person fit get miscarriage,positive,False
oooh baby please please she no be average her body na savage keshi baby rora shea dia dia ko roraah,neutral,oooh baby please please she no be average her body na savage keshi baby rora shea dia dia ko roraah,positive,False
go tell god that one na we say make una like glittering things if not we go for still dey paradise now,negative,go tell god that one na we say make una like glittering things if not we go for still dey paradise now,positive,False
we dey on with x for studio and we go dey ask dem question wey concern their kind music edmtune in,neutral,we dey on with x for studio and we go dey ask dem question wey concern their kind music edmtune in,negative,False
una go chop am this season sha make e start,neutral,una go chop am this season sha make e start,positive,False
i don commot hand for anyth wey concern baf dis year bath done n dusted,positive,i don commot hand for anyth wey concern baf dis year bath done n dusted,negative,False
pls na looool i ddnt say de shld collect it omake them correct am b manutd fan drive me commot twitter lol,positive,pls na looool i ddnt say de shld collect it omake them correct am b manutd fan drive me commot twitter lol,negative,False
na so d protest carry dem reach d spirit of benin protest atleast does ppl wey dem manage release go tnk der god,positive,na so d protest carry dem reach d spirit of benin protest atleast does ppl wey dem manage release go tnk der god,negative,False
omo wer una dey see dat kind relationship na,positive,omo wer una dey see dat kind relationship na,negative,False
come ooo next week friday is christmas ooo asin im not seeing any sign in my house ooo i dont understand ooo normally we for don run half bag of flour for chinchin even the meat dey sound like audio,positive,come ooo next week friday is christmas ooo asin im not seeing any sign in my house ooo i dont understand ooo normally we for don run half bag of flour for chinchin even the meat dey sound like audio,negative,False
im sure you guys had fun but youre not showing me pics of the oba na all these men with big belle you dey post,positive,im sure you guys had fun but youre not showing me pics of the oba na all these men with big belle you dey post,negative,False
i dont like the way your header looks at me when i enter your page e dey look me like i wan thief something,negative,i dont like the way your header looks at me when i enter your page e dey look me like i wan thief something,positive,False
i remember dat day for freddo house wey dalo no gree make you talk on the matter funny as fuck,positive,i remember dat day for freddo house wey dalo no gree make you talk on the matter funny as fuck,negative,False
if preeq see toto e go charge like say e fit do something but if e enter see wetin others have seen e go bow,neutral,if preeq see toto e go charge like say e fit do something but if e enter see wetin others have seen e go bow,negative,False
mo you sef don join ancestors dey chop sacrifice come and see o,negative,mo you sef don join ancestors dey chop sacrifice come and see o,positive,False
before i took this picture ehn the kind of run i did anyway who don fine don fine im still your surest plug for quality bedsheets and duvets made from the finest cotton quality for your kids and you come and patronize me today and testify,negative,before i took this picture ehn the kind of run i did anyway who don fine don fine im still your surest plug for quality bedsheets and duvets made from the finest cotton quality for your kids and you come and patronize me today and testify,positive,False
how much you think say this one be e still no fill pot oh k with abeg the fish big na me wey stand afar snap cause e dey splash water,positive,how much you think say this one be e still no fill pot oh k with abeg the fish big na me wey stand afar snap cause e dey splash water,negative,False
my belle don dey big like own because of am o,positive,my belle don dey big like own because of am o,negative,False
una dey play nonsense this na wetin we go do all chelsea and arsenal players one day warri nigeria,negative,una dey play nonsense this na wetin we go do all chelsea and arsenal players one day warri nigeria,neutral,False
as for those wen want my waffi bros to comot d house na unah go pack unah load go,negative,as for those wen want my waffi bros to comot d house na unah go pack unah load go,positive,False
na pipo wey no like me na,negative,na pipo wey no like me na,positive,False
chop knuckle wa gbayi omo yi you don sabi better food be that preach let them hear,positive,chop knuckle wa gbayi omo yi you don sabi better food be that preach let them hear,negative,False
don don don don foxy i remember when we used to call him sango afolabi sha has to do thanksgiving for his glow up tbh‍️,neutral,don don don don foxy i remember when we used to call him sango afolabi sha has to do thanksgiving for his glow up tbh️,positive,False
pillow under the head wee never allow hair to be smooth laidat na u had to comb or brush it fest but that smile eh lai lo make up‍️‍️‍️ melanin poppin just no wound me abeg na my lane i dey waka so,positive,pillow under the head wee never allow hair to be smooth laidat na u had to comb or brush it fest but that smile eh lai lo make up️️️ melanin poppin just no wound me abeg na my lane i dey waka so,negative,False
where can i find this kain fine specimen the earrings come topup the fineness finish this wan na square meal comman see buffet e slippery,positive,where can i find this kain fine specimen the earrings come topup the fineness finish this wan na square meal comman see buffet e slippery,negative,False
in warri how much i dey owe you sef na today den dey owe pesin naija sef dey owe nah nor dey stress me,negative,in warri how much i dey owe you sef na today den dey owe pesin naija sef dey owe nah nor dey stress me,neutral,False
na when you need help people go dey ask you all the things wey you do wrong,negative,na when you need help people go dey ask you all the things wey you do wrong,positive,False
se na like this we go dey dey e haaa don na like this we go dey dey e,negative,se na like this we go dey dey e haaa don na like this we go dey dey e,positive,False
na all those kind guys for exam hall wey go ask you whether you dey sure when dem dey dub,positive,na all those kind guys for exam hall wey go ask you whether you dey sure when dem dey dub,negative,False
na anambra i come from i no need your motivational quotes i don dey see rich men since dey born me period,negative,na anambra i come from i no need your motivational quotes i don dey see rich men since dey born me period,positive,False
na assassin u wan date,negative,na assassin u wan date,neutral,False
i dey tell one of my guy say e nor dey reach weeks e think say na show offi just say i dey pray for him big break say we go visit this issue again,positive,i dey tell one of my guy say e nor dey reach weeks e think say na show offi just say i dey pray for him big break say we go visit this issue again,negative,False
men biko how much will be enough for you to barb your hair and look good ladies tag a guy and pay for him no be only men go dey pay una bills i know some women will want to tag some + men wey don go bald you will be disqualified ️,neutral,men biko how much will be enough for you to barb your hair and look good ladies tag a guy and pay for him no be only men go dey pay una bills i know some women will want to tag some + men wey don go bald you will be disqualified ️,negative,False
e be like say na like this we go settle am patronize me i dey try raise tuition fee tuition fee don increase nigeria,positive,e be like say na like this we go settle am patronize me i dey try raise tuition fee tuition fee don increase nigeria,negative,False
forget the fine facehow can egungun be carefule don jam am i don tell am e don jam am be on repeat in my head,negative,forget the fine facehow can egungun be carefule don jam am i don tell am e don jam am be on repeat in my head,positive,False
omo no be everybody wen you follow wen no follow you back dey proud oh some people really really no just care about this followers thing no be pride,positive,omo no be everybody wen you follow wen no follow you back dey proud oh some people really really no just care about this followers thing no be pride,negative,False
abeg make una buy perfume na from very cheap make i fit see money continue this protest ejor abeg edakun make una help me oh girl is super broke,negative,abeg make una buy perfume na from very cheap make i fit see money continue this protest ejor abeg edakun make una help me oh girl is super broke,positive,False
abeg where una dey find this relationship nawif na soap abeg cut small for me omo alot happened i don forget some sha we meuv‍️,negative,abeg where una dey find this relationship nawif na soap abeg cut small for me omo alot happened i don forget some sha we meuv️,positive,False
wetin dey happen for this jos today na una no dey invite person for things please now,positive,wetin dey happen for this jos today na una no dey invite person for things please now,negative,False
good evening my adorable followers how are you how did your day go im sorry ive not been able to post stories like before ive been really busy and not had me time i know i have some unfinished stories ive finished them in my head na to type am no vex abeg,positive,good evening my adorable followers how are you how did your day go im sorry ive not been able to post stories like before ive been really busy and not had me time i know i have some unfinished stories ive finished them in my head na to type am no vex abeg,negative,False
fresh kehabi opportunity to fornicateactivity dey wey baba go do wey go make baba forget about meim not playing rough play naira,negative,fresh kehabi opportunity to fornicateactivity dey wey baba go do wey go make baba forget about meim not playing rough play naira,positive,False
armed robber walks in armed robber i know youre there me armed robber come out me armed robber u better come out now or else me armed robber na condition make cray fish bend me even cray fish wey straight na winch,positive,armed robber walks in armed robber i know youre there me armed robber come out me armed robber u better come out now or else me armed robber na condition make cray fish bend me even cray fish wey straight na winch,negative,False
see wetin ed woodword dey cause ‍️,negative,see wetin ed woodword dey cause ️,neutral,False
abeg nnewi people cinema dey nnewi lidis,negative,abeg nnewi people cinema dey nnewi lidis,positive,False
ncdc sup with update na e don be carryover oh,negative,ncdc sup with update na e don be carryover oh,neutral,False
abeg i nor do wahz dis na,negative,abeg i nor do wahz dis na,positive,False
lmao you never see my team una ke my guy na only classic i dey focus on as e be,positive,lmao you never see my team una ke my guy na only classic i dey focus on as e be,negative,False
this cho cho dance shey my neck wouldnt shift from east to west na who go vex go vex david is a vibe,positive,this cho cho dance shey my neck wouldnt shift from east to west na who go vex go vex david is a vibe,negative,False
mr man did u see awolowo for that lyrics since him de gail legends saraki na legend too abi,negative,mr man did u see awolowo for that lyrics since him de gail legends saraki na legend too abi,neutral,False
im coming wit a bagger very soon e go shock the north inshaallah,negative,im coming wit a bagger very soon e go shock the north inshaallah,positive,False
igbo fufu na d best dem no dey turn am for pot na pounding,positive,igbo fufu na d best dem no dey turn am for pot na pounding,negative,False
funny i dont even know her bro yesterday was the first time i saw her picture she is not fam na her husband me and her run matter sef,neutral,funny i dont even know her bro yesterday was the first time i saw her picture she is not fam na her husband me and her run matter sef,negative,False
twitter brethren how is your evening going to pan out i just wanted to peep oooo how una de,positive,twitter brethren how is your evening going to pan out i just wanted to peep oooo how una de,negative,False
sorry bro mah recharge now sef,negative,sorry bro mah recharge now sef,positive,False
traditional marriage don reach now you carry us dey enter bush all those fine gates wey you stand dey snap nah who get am,negative,traditional marriage don reach now you carry us dey enter bush all those fine gates wey you stand dey snap nah who get am,positive,False
who started this look at your whatever thing e don do oo my tl is mess already,negative,who started this look at your whatever thing e don do oo my tl is mess already,positive,False
i suppose buy popcorn as per na movie i wan watch this night,positive,i suppose buy popcorn as per na movie i wan watch this night,neutral,False
balikis no sabi kiss omowumi don do abortions iya abiye sef never born even morenikeji never get partner ifelodun don break up wetin we never see for our street even excellent sef dey carryover courses,neutral,balikis no sabi kiss omowumi don do abortions iya abiye sef never born even morenikeji never get partner ifelodun don break up wetin we never see for our street even excellent sef dey carryover courses,negative,False
na to read am be the koko observe all wetin u read evangelise all wetin you read,positive,na to read am be the koko observe all wetin u read evangelise all wetin you read,neutral,False
e don happen again o olosho don steal iphone pro max wey my guy borrow,negative,e don happen again o olosho don steal iphone pro max wey my guy borrow,positive,False
im so freaking hot need a glass of chilled water but ive got sore throat so i cant what kind of wahala is dis now,positive,im so freaking hot need a glass of chilled water but ive got sore throat so i cant what kind of wahala is dis now,negative,False
seeing as rice cost for market i just dey admire that bag of rice wey dey there god bless you for your support blessed is the man that giveth than the one that taketh may gods blessings and grace be upon you always,negative,seeing as rice cost for market i just dey admire that bag of rice wey dey there god bless you for your support blessed is the man that giveth than the one that taketh may gods blessings and grace be upon you always,positive,False
now wey i need your help you nor help me the time wey you go wan come help me i nor go want your help that time so you go get out by then,negative,now wey i need your help you nor help me the time wey you go wan come help me i nor go want your help that time so you go get out by then,positive,False
i dont even know where to start from koz my parent love that show like and nah night them dey watch am so sometimes i used to be like why cant they show this thing at morning i dont even know how to express my selffeelings towards this show abeg i just dey type shit,positive,i dont even know where to start from koz my parent love that show like and nah night them dey watch am so sometimes i used to be like why cant they show this thing at morning i dont even know how to express my selffeelings towards this show abeg i just dey type shit,negative,False
i don see this one na hin face for that nd frame i wan see,positive,i don see this one na hin face for that nd frame i wan see,negative,False
make e see wetin hin fine face and stature dey cause for my marital house o,positive,make e see wetin hin fine face and stature dey cause for my marital house o,negative,False
ozo think say because him na fine boy automatically dem go always reason am dem carry am handicap and o housemates where like you dont have the facilities for that big man,neutral,ozo think say because him na fine boy automatically dem go always reason am dem carry am handicap and o housemates where like you dont have the facilities for that big man,negative,False
o lord wen i go buy dis motor wey dey my mind,negative,o lord wen i go buy dis motor wey dey my mind,positive,False
invite me come ibadan baba e don tey i chop ewa ati bread,positive,invite me come ibadan baba e don tey i chop ewa ati bread,neutral,False
me sef shock,negative,me sef shock,positive,False
latest gina guideline ooo just hearing it today in a seminar e off me i managed a hand full of asthmatics over the last few weeks and i nebulized religiously,negative,latest gina guideline ooo just hearing it today in a seminar e off me i managed a hand full of asthmatics over the last few weeks and i nebulized religiously,positive,False
see as dey nod as dey talk about the mistake they made while in government regarding like bro na me go sign am if you enter if we enter,negative,see as dey nod as dey talk about the mistake they made while in government regarding like bro na me go sign am if you enter if we enter,positive,False
good morning big bro abeg na vn u go de use reply my whats app now,positive,good morning big bro abeg na vn u go de use reply my whats app now,negative,False
i dont know what im doing wrong im not selling im broke im sad were almost in december baba god i know youre the god of the th hour please come through,negative,i dont know what im doing wrong im not selling im broke im sad were almost in december baba god i know youre the god of the th hour please come through,positive,False
see am keypad warrior na for twitter you dey get strength come fight mortal combat now na wahala,negative,see am keypad warrior na for twitter you dey get strength come fight mortal combat now na wahala,neutral,False
dem scatter every where from the beginning and still dey scatter things wicked generation how can a country like ours still be struggling with electricity upon all the professors and self acclaimed visionary well positioned leaders dem even get gen for house and office‍️,positive,dem scatter every where from the beginning and still dey scatter things wicked generation how can a country like ours still be struggling with electricity upon all the professors and self acclaimed visionary well positioned leaders dem even get gen for house and office️,negative,False
by now i for don dey chevron drive dey enjoy this,negative,by now i for don dey chevron drive dey enjoy this,positive,False
come why dem nor dey fit dey retweet your messages body dey catch you,negative,come why dem nor dey fit dey retweet your messages body dey catch you,positive,False
me as a pastor how you go dey put as your tithe your salary na,negative,me as a pastor how you go dey put as your tithe your salary na,positive,False
shey una dey listen to crest fm sha talk say them wan share babe by am o,positive,shey una dey listen to crest fm sha talk say them wan share babe by am o,neutral,False
just tey dey for this week oh,neutral,just tey dey for this week oh,positive,False
omo na spag wey me think say dey oh na hin as i enter kitchen now boy don finish am,negative,omo na spag wey me think say dey oh na hin as i enter kitchen now boy don finish am,positive,False
and go dey do like tom and jerry uppandan spectators go dey comment ratings go dey pile me i just need,neutral,and go dey do like tom and jerry uppandan spectators go dey comment ratings go dey pile me i just need,negative,False
omo e be like say una go dey talk this thing till una die oooo i bet you might even tell it to your childrens children yall just pained that he has come this far even outstayed your fave nonsense,positive,omo e be like say una go dey talk this thing till una die oooo i bet you might even tell it to your childrens children yall just pained that he has come this far even outstayed your fave nonsense,negative,False
we don see you na son of solomon,negative,we don see you na son of solomon,positive,False
na cheating honestly next time we are together as a family we go table the matter why you go talk say na strokes i go chop whereas every lie down lie flat you dey use the cain press me like iron,positive,na cheating honestly next time we are together as a family we go table the matter why you go talk say na strokes i go chop whereas every lie down lie flat you dey use the cain press me like iron,negative,False
the way relationship dey work for some people ehn e be like say i don miss road from the beginning see as wedding plenty today how did they get to that stage i need brochure with answers please,positive,the way relationship dey work for some people ehn e be like say i don miss road from the beginning see as wedding plenty today how did they get to that stage i need brochure with answers please,negative,False
e dey constantly burst my brain when they speak to parents to caution and appeal to their children i cant laugh but its funny like we are children we dont have sense we dont know what we are doing you think you years of respect and shutup tactic still works na wa,negative,e dey constantly burst my brain when they speak to parents to caution and appeal to their children i cant laugh but its funny like we are children we dont have sense we dont know what we are doing you think you years of respect and shutup tactic still works na wa,positive,False
show me love i use god beg you i no want money abeg just one song abeg i dey beg,negative,show me love i use god beg you i no want money abeg just one song abeg i dey beg,positive,False
e con thief the money them no lie them no just dey correct with wetin him go steal,neutral,e con thief the money them no lie them no just dey correct with wetin him go steal,negative,False
wetin dey sup nah is it that people are not seeing my tweets or they dont just want to engage them please im new here o teach me what to do abeg thanks,positive,wetin dey sup nah is it that people are not seeing my tweets or they dont just want to engage them please im new here o teach me what to do abeg thanks,negative,False
hin go reach my side too,neutral,hin go reach my side too,positive,False
boss abeg any family love and romance series for your boy i don go waste time data dey download wandavision,negative,boss abeg any family love and romance series for your boy i don go waste time data dey download wandavision,positive,False
the point wey i dey lead you i fit use am climb bike a liverpool fan to a chelsea fan,negative,the point wey i dey lead you i fit use am climb bike a liverpool fan to a chelsea fan,positive,False
i sing occasionally i love music and i love to dance im a very picky eater i dont eat the things an average person would im a football enthusiast im a hugger but corona virus wont let me be great i absolutely love children ️ and animals esp dogs,negative,i sing occasionally i love music and i love to dance im a very picky eater i dont eat the things an average person would im a football enthusiast im a hugger but corona virus wont let me be great i absolutely love children ️ and animals esp dogs,positive,False
some people get time to they speak english sha as i dey speak the english na slap dey follow am nonsense,negative,some people get time to they speak english sha as i dey speak the english na slap dey follow am nonsense,positive,False
thanks babanah say e still dey green nah why i dey hear d details oo,positive,thanks babanah say e still dey green nah why i dey hear d details oo,neutral,False
part of the money me na i say okay no wahala enter when i reach where i dey go we go end trip see how much then you pay a percentage abi no be so i don reach where i dey go finish aunty oya pay she say em i dont have cash with me ah ah see me see cashless society,negative,part of the money me na i say okay no wahala enter when i reach where i dey go we go end trip see how much then you pay a percentage abi no be so i don reach where i dey go finish aunty oya pay she say em i dont have cash with me ah ah see me see cashless society,positive,False
lmao bro how we go do na i dey test this big man life e be like say the thing go fit me abi,positive,lmao bro how we go do na i dey test this big man life e be like say the thing go fit me abi,negative,False
so so many thing mehn i play different instruments i play different sports i come sabi maths and physics i come sabi sing again i come dey style people again i come dey think like bill gates list can go onnnnn,positive,so so many thing mehn i play different instruments i play different sports i come sabi maths and physics i come sabi sing again i come dey style people again i come dey think like bill gates list can go onnnnn,negative,False
small sickness i don dey chop like thief o wrong na,negative,small sickness i don dey chop like thief o wrong na,neutral,False
ok na th be like say i don dey alryt small,negative,ok na th be like say i don dey alryt small,positive,False
